bid_id,sales_id,buyer_id,date_bid,bid_price
1,22,1,2022-02-06,203530000
2,22,1,2022-02-10,192530000
3,48,2,2022-02-12,179000000
4,48,2,2022-02-18,162000000
5,31,3,2022-06-05,188910000
6,31,3,2022-06-06,173910000
7,30,3,2022-03-01,202220000
8,30,3,2022-03-08,195220000
9,34,4,2022-06-07,199310000
10,23,5,2022-04-22,200460000
11,44,5,2022-01-28,164450000
12,25,6,2022-05-02,204770000
13,25,6,2022-05-11,188770000
14,13,6,2022-04-25,170600000
15,13,6,2022-04-27,156600000
16,30,7,2022-03-12,200220000
17,13,7,2022-04-30,163600000
18,29,8,2022-07-03,200870000
19,29,8,2022-07-11,188870000
20,10,9,2022-02-28,162730000
21,30,9,2022-02-23,189220000
22,25,9,2022-05-04,204770000
23,30,10,2022-03-24,198220000
24,30,10,2022-04-01,193220000
25,4,10,2022-06-09,183420000
26,15,11,2022-02-15,202810000
27,37,12,2022-05-16,109490000
28,37,12,2022-05-23,90490000
29,37,12,2022-06-03,105490000
30,37,12,2022-06-04,92490000
31,43,12,2022-04-10,195280000
32,8,13,2022-05-20,152730000
33,20,13,2022-05-14,153810000
34,29,13,2022-06-23,210870000
35,29,13,2022-07-01,196870000
36,3,14,2022-03-20,205170000
37,3,14,2022-03-24,195170000
38,23,15,2022-05-03,207460000
39,23,15,2022-05-12,200460000
40,9,15,2022-02-23,235660000
41,9,15,2022-02-23,223660000
42,35,15,2022-02-11,151210000
43,47,16,2022-01-24,186090000
44,37,17,2022-05-19,108490000
45,34,17,2022-06-29,198310000
46,9,18,2022-03-02,247660000
47,9,19,2022-03-02,244660000
48,9,19,2022-03-03,232660000
49,15,19,2022-02-05,204810000
50,15,19,2022-02-12,189810000
51,48,20,2022-02-12,184000000
52,48,20,2022-02-16,168000000
53,28,21,2022-01-23,125140000
54,40,22,2022-03-19,169180000
55,40,22,2022-03-21,155180000
56,45,22,2022-06-15,169980000
57,40,23,2022-03-02,181180000
58,27,23,2022-02-28,144170000
59,27,23,2022-03-07,128170000
60,48,24,2022-02-07,179000000
61,25,25,2022-05-11,213770000
62,27,26,2022-02-15,134170000
63,38,26,2022-07-22,179000000
64,38,26,2022-07-28,165000000
65,7,26,2022-01-21,186250000
66,7,26,2022-01-27,167250000
67,36,27,2022-07-02,134990000
68,36,27,2022-07-08,128990000
69,2,27,2022-03-08,203810000
70,2,27,2022-03-08,190810000
71,40,28,2022-02-19,170180000
72,35,29,2022-02-14,154210000
73,35,29,2022-02-20,140210000
74,32,30,2022-03-04,185970000
75,32,30,2022-03-08,168970000
76,4,31,2022-05-30,196420000
77,4,31,2022-06-02,181420000
78,20,31,2022-05-18,155810000
79,20,31,2022-05-23,150810000
80,1,32,2022-07-07,149790000
81,1,32,2022-07-08,143790000
82,22,32,2022-02-14,204530000
83,22,32,2022-02-17,189530000
84,12,33,2022-02-28,213130000
85,7,33,2022-01-25,188250000
86,29,33,2022-07-08,205870000
87,34,34,2022-07-01,206310000
88,34,34,2022-07-01,199310000
89,46,34,2022-02-03,119100000
90,29,35,2022-06-14,197870000
91,29,35,2022-06-17,187870000
92,29,35,2022-07-09,209870000
93,11,35,2022-04-25,178440000
94,21,36,2022-05-01,243410000
95,20,37,2022-05-06,164810000
96,6,37,2022-01-02,146840000
97,19,37,2022-06-20,228150000
98,19,37,2022-06-21,211150000
99,25,38,2022-05-16,205770000
100,25,38,2022-05-23,189770000
101,24,38,2022-06-18,188150000
102,24,38,2022-06-22,176150000
103,12,38,2022-03-26,205130000
104,7,39,2022-01-22,186250000
105,3,39,2022-04-11,200170000
106,3,39,2022-04-13,192170000
107,15,40,2022-02-04,203810000
108,15,40,2022-02-04,185810000
109,25,40,2022-05-21,213770000
110,25,40,2022-05-29,203770000
111,22,41,2022-02-20,212530000
112,22,41,2022-02-21,200530000
113,13,42,2022-05-11,163600000
114,17,42,2022-02-23,142340000
115,17,42,2022-02-28,127340000
116,8,42,2022-05-23,156730000
117,41,43,2022-03-17,165900000
118,8,43,2022-05-07,156730000
119,8,43,2022-05-15,138730000
120,16,44,2022-06-03,170840000
121,16,44,2022-06-10,164840000
122,22,44,2022-01-31,215530000
123,22,44,2022-01-31,210530000
