product_id,merk,model,body_type,transmission_type,year
1,Toyota,Toyota Agya,Hatchback,Manual,2014
2,Toyota,Toyota Agya,Hatchback,Manual,2015
3,Toyota,Toyota Agya,Hatchback,Manual,2016
4,Toyota,Toyota Agya,Hatchback,Manual,2017
5,Toyota,Toyota Agya,Hatchback,Manual,2019
6,Toyota,Toyota Agya,Hatchback,Manual,2020
7,Toyota,Toyota Yaris,Hatchback,Manual,2014
8,Toyota,Toyota Yaris,Hatchback,Automatic,2015
9,Toyota,Toyota Yaris,Hatchback,Automatic,2016
10,Toyota,Toyota Yaris,Hatchback,Automatic,2017
11,Toyota,Toyota Yaris,Hatchback,Automatic,2019
12,Toyota,Toyota Yaris,Hatchback,Automatic,2020
13,Toyota,Toyota Calya,Wagon,Manual,2014
14,Toyota,Toyota Calya,Wagon,Automatic,2015
15,Toyota,Toyota Calya,Wagon,Automatic,2018
16,Toyota,Toyota Calya,Wagon,Automatic,2019
17,Daihatsu,Daihatsu Alya,Hatchback,Automatic,2014
18,Daihatsu,Daihatsu Alya,Hatchback,Manual,2015
19,Daihatsu,Daihatsu Alya,Hatchback,Manual,2016
20,Daihatsu,Daihatsu Alya,Hatchback,Manual,2017
21,Daihatsu,Daihatsu Alya,Hatchback,Manual,2019
22,Daihatsu,Daihatsu Terios,SUV,Automatic,2014
23,Daihatsu,Daihatsu Terios,SUV,Manual,2016
24,Daihatsu,Daihatsu Terios,SUV,Automatic,2019
25,Daihatsu,Daihatsu Xenia,MPV,Manual,2014
26,Daihatsu,Daihatsu Xenia,MPV,Manual,2015
27,Daihatsu,Daihatsu Xenia,MPV,Manual,2016
28,Daihatsu,Daihatsu Xenia,MPV,Manual,2017
29,Daihatsu,Daihatsu Xenia,MPV,Manual,2018
30,Daihatsu,Daihatsu Xenia,MPV,Manual,2019
31,Honda,Honda Jazz,Hatchback,Manual,2014
32,Honda,Honda Jazz,Hatchback,Manual,2015
33,Honda,Honda Jazz,Hatchback,Manual,2016
34,Honda,Honda Jazz,Hatchback,Automatic,2017
35,Honda,Honda Jazz,Hatchback,Manual,2018
36,Honda,Honda Jazz,Hatchback,Automatic,2020
37,Honda,Honda CR-V,SUV,Automatic,2014
38,Honda,Honda CR-V,SUV,Manual,2015
39,Honda,Honda CR-V,SUV,Automatic,2016
40,Honda,Honda CR-V,SUV,Automatic,2017
41,Honda,Honda CR-V,SUV,Manual,2018
42,Honda,Honda CR-V,SUV,Manual,2020
43,Honda,Honda Civic,Sedan,Automatic,2015
44,Honda,Honda Civic,Sedan,Automatic,2016
45,Honda,Honda Civic,Sedan,Automatic,2018
46,Suzuki,Suzuki Ertiga,MPV,Automatic,2015
47,Suzuki,Suzuki Ertiga,MPV,Automatic,2016
48,Suzuki,Suzuki Ertiga,MPV,Manual,2018
